;牛魔战士
1/3 金币 450

1/25 太阳水

1/100 强效太阳水

1/16000 勇士头盔
1/16000 紫晶石项链
1/16000 钢铁手套
1/16000 破碎项链
1/16000 破碎手镯
1/16000 破碎戒指
1/16000 灵玉项链
1/16000 灵玉手镯
1/16000 灵玉戒指
1/16000 虎威戒指
1/16000 幻魔石手镯
1/16000 幻魔石戒指
1/16000 幻魔石项链

1/4400 死神手套
1/4400 蓝翡翠项链
1/4400 金手镯
1/4400 道德戒指
1/4400 魅力戒指
1/4400 放大镜
1/4400 竹笛
1/4400 道士头盔
1/4400 凝霜
1/4400 珊瑚戒指
1/4400 降妖除魔戒指
1/4400 骷髅头盔
1/4400 修罗
1/4400 金戒指
1/4400 紫绸靴
1/4400 青铜腰带
1/4400 金萤帽
1/4400 金铜头盔
1/4400 青雷
1/4400 灵力项链
1/4400 黑铁手镯
1/4400 火血匕
1/4400 重盔甲(男)
1/4400 重盔甲(女)
1/4400 灵魂战衣(女)
1/4400 灵魂战衣(男)
1/4400 魔法长袍(男)
1/4400 魔法长袍(女)

1/1100 道士手镯
1/1100 黑檀手镯
1/1100 降魔
1/1100 黑色水晶戒指
1/1100 蛇眼戒指
1/1100 珍珠戒指
1/1100 破魂
1/1100 斩马刀
1/1100 偃月
1/1100 生铁戒指
1/1100 白色虎齿项链
1/1100 白金项链
1/1100 骷髅戒指
1/1100 尽力手镯
1/1100 鹿皮靴
1/1100 铁腰带
1/1100 斗士项链
