;黑色恶蛆
1/4 金币 200

1/40 太阳水

1/4800 祝福油

1/4800 战神油

1/18700 死神手套
1/18700 蓝翡翠项链
1/18700 金手镯
1/18700 道德戒指
1/18700 魅力戒指
1/18700 放大镜
1/18700 竹笛
1/18700 道士头盔
1/18700 凝霜
1/18700 珊瑚戒指
1/18700 降妖除魔戒指
1/18700 骷髅头盔
1/18700 修罗
1/18700 金戒指
1/18700 紫绸靴
1/18700 青铜腰带
1/18700 金萤帽
1/18700 金铜头盔
1/18700 青雷
1/18700 灵力项链
1/18700 黑铁手镯
1/18700 火血匕
1/18700 重盔甲(男)
1/18700 重盔甲(女)
1/18700 灵魂战衣(女)
1/18700 灵魂战衣(男)
1/18700 魔法长袍(男)
1/18700 魔法长袍(女)

1/3700 道士手镯
1/3700 黑檀手镯
1/3700 降魔
1/3700 黑色水晶戒指
1/3700 蛇眼戒指
1/3700 珍珠戒指
1/3700 破魂
1/3700 斩马刀
1/3700 偃月
1/3700 生铁戒指
1/3700 白色虎齿项链
1/3700 白金项链
1/3700 骷髅戒指
1/3700 尽力手镯
1/3700 鹿皮靴
1/3700 铁腰带
1/3700 斗士项链

1/20000 世轮手镯
1/20000 绿翠手镯
1/20000 灵符手镯
1/20000 世轮指环
1/20000 绿翠指环
1/20000 灵符戒指

1/1800 八荒
1/1800 半月
1/1800 海魂
1/1800 凌风
1/1800 蓝色水晶戒指
1/1800 魔鬼项链
1/1800 琥珀项链
1/1800 凤凰明珠
1/1800 坚固手套
1/1800 魔力手镯
1/1800 灯笼项链
1/1800 中型盔甲(男)
1/1800 中型盔甲(女)
1/1800 紫水晶项链
1/1800 布鞋
1/1800 兽皮腰带
1/1800 珍玉项链
1/1800 钢铁斧

1/500 铁剑
1/500 短剑
1/500 轻型盔甲(男)
1/500 轻型盔甲(女)
1/500 青铜斧
1/500 黑檀项链
1/500 黄色水晶项链
1/500 黑色水晶项链
1/500 魔法头盔

1/500 青铜剑
1/500 小手镯
1/500 玻璃戒指
1/500 六角戒指
1/500 皮制手套
1/500 银手镯
1/500 钢手镯
1/500 牛角戒指
1/500 大手镯
1/500 青铜头盔
1/500 白玉戒指
