;规则
;金币,爆率,数量 G,4,30
;药品,id,数量,爆率 P,R1,4,2
;其他物品,爆率,物品名 O,100,魔法头盔
;装备组,爆率 B1,600

;新手村30
稻草人: G,4,30|P,R1,1,20|P,B1,1,30|D1,800|B1,600
蛤蟆: G,4,30|D1,800|B1,200
多钩猫: G,4,50|D1,800|B2,100|B1,400
钉耙猫: G,4,50|D1,800|B1,400
半兽人: G,2,100|G,10000,1000|D1,800|B2,1800|B1,600
森林雪人: G,4,70|P,R1,1,35|P,B1,1,50|P,S1,1,100|D1,800|B2,800|B1,400
稻草人0: G,1,400|P,R1,4,2|P,B1,4,2|B1,5
蛤蟆0: G,1,400|P,R1,4,2|P,B1,4,2|B1,5
多钩猫0: G,1,400|P,R1,4,2|P,B1,4,2|B2,20|B1,5
钉耙猫0: G,1,4000|P,R1,4,2|P,B1,4,2|B1,5
半兽人0: G,1,400|P,R1,4,2|P,B1,4,2|B2,8|B1,5
森林雪人0: G,1,400|P,R1,4,2|P,B1,4,2|B2,50|B1,5
食人花: O,1,食人树叶|O,5,食人树的果实
毒蜘蛛: O,3,毒蜘蛛牙齿
鸡: O,1,鸡肉
鹿: O,1,肉|O,10,肉|O,10000,鹿血

;沃玛森林130
半兽战士: G,4,200|B3,600|B2,600|B1,100
半兽战士0: G,1,400|P,R2,4,2|P,B2,4,2|B3,80|B2,80

;毒蛇山谷85
红蛇: G,30,120|P,R2,1,30|P,B2,1,40|P,O2,1,6000|P,O1,1,6000|B3,700|B2,700|B1,300
虎蛇: G,40,140|G,10000,5000|P,R1,1,30|P,B1,1,40|P,O2,1,6000|P,O1,1,6000|B3,900|B2,900|B1,400
红蛇0: G,1,400|P,O1,1,20|P,R2,4,2|P,B2,4,2|B3,80|B2,80
虎蛇0: G,1,400|P,O1,1,20|P,R2,4,20|P,B2,4,20|B3,80|B2,80

;盟重省50
狼: O,1,肉|O,10,肉
多角虫: G,4,100|D1,600|B3,800|B2,800|B1,200
盔甲虫: G,4,70|P,R1,1,25|P,B1,1,40|D1,600|B3,800|B2,800|B1,200
猎鹰: G,4,70|P,R1,1,15|P,B1,1,25|P,O4,1,180
威思而小虫: P,R1,1,10|P,B1,1,15
沙虫: P,R1,1,10|P,B1,1,20
多角虫0: G,1,400|P,S1,4,2|P,R1,4,2|P,B1,4,2|B2,5|B1,5
盔甲虫0: G,1,400|P,R1,4,2|P,B1,4,2|B2,5|B1,50
羊: O,1,肉|O,10,肉

;骷髅洞150
山洞蝙蝠: G,4,50|P,R1,1,15|P,B1,1,25|P,O4,1,100|D1,800
蝎子: O,1,蝎子的尾巴
洞蛆: SR,10000000|O,5,蛆卵
骷髅: G,3,200|D1,500|B4P,20000|B4,2000|B3,1000|B2,1000
掷斧骷髅: G,2,200|D1,500|B4P,20000|B4,1000|B3,500|B2,500
骷髅战士: G,2,200|P,R1,1,15|P,B1,1,25|D1,500|B4P,20000|B4,1800|B3,900|B2,900
骷髅战将: G,2,200|P,R2,1,25|P,B2,1,40|P,S1,1,80|D1,500|B4P,20000|B4,1200|B3,650|B2,600
山洞蝙蝠0: G,1,4000|P,O4,5,2
骷髅0: G,1,600|P,R1,4,2|P,B1,4,2|B4P,2000|B3,80|B2,80
掷斧骷髅0: G,1,600|P,R2,4,2|P,B2,4,2|B4P,2000|B3,80|B2,80
骷髅战士0: G,1,600|P,R2,4,2|P,B2,4,2|B4P,2000|B3,80|B2,80
骷髅战将0: G,1,600|P,R2,4,2|P,B2,4,2|B4P,2000|B3,80|B2,80

;僵尸洞200
僵尸1: G,2,280|G,5000,500|P,R2,1,500|P,B2,1,500|D1,400|M1,200|M2,800|M3,2100|ST3,20000|B4P,20000
僵尸2: G,2,280|G,5000,500|P,R2,1,150|P,B2,1,250|P,S1,1,500|D1,400|M1,600|M2,1200|M3,7200|ST3,20000|B4P,20000
僵尸3: G,2,280|G,5000,5000|P,R1,1,10|P,B1,1,20|P,S1,1,500|D1,400|M1,600|M2,1200|M3,7200|ST3,20000|B4P,20000
僵尸4: G,2,280|G,5000,5000|P,R1,1,10|P,B1,1,20|D1,400|M1,700|M2,1400|M3,8400|ST3,20000|B4P,20000
僵尸5: G,2,280|G,5000,5000|P,R1,1,10|P,B1,1,20|P,S1,1,50|D1,400|M1,600|M2,1100|M3,6600|ST3,20000|B4P,20000
僵尸10: G,1,4000|P,R2,4,20|P,B2,4,20|M1,20|M2,100|ST3,2000|B4P,2000|B4,50|B3,100|B2,30
僵尸20: G,1,400|P,R2,4,20|P,B2,4,20|M1,20|M2,10|ST3,2000|B4P,2000|B4,50|B3,30|B2,30
僵尸30: G,1,400|P,R1,4,20|P,B1,4,20|M1,20|M2,10|ST3,2000|B4P,2000|B4,50|B3,30|B2,30
僵尸40: G,1,400|P,R1,4,20|P,B1,4,20|M1,2|M2,100|ST3,2000|B4P,2000|B4,50|B3,30|B2,30
僵尸50: G,1,400|P,R1,4,2|P,B1,4,2|M1,2|M2,10|ST3,2000|B4P,2000|B4,10|B3,3|B2,3

;沃玛寺庙270
粪虫: P,R1,1,20|P,B1,1,30|P,S1,1,50|SR,800000
暗黑战士: G,4,190|P,R1,1,10|P,B1,1,20|B5,800|B4,400|B3,400|B2,400
沃玛战士: G,4,200|G,10000,500|P,R1,1,100|P,B1,1,200|P,S1,1,500|B5,1400|B4,500|B3,500|B2,500
沃玛勇士: G,4,220|P,R2,1,15|P,B2,1,25|P,S1,1,50|D1,500|B5,1600|B4,800|B3,500|B2,500
沃玛战将: G,4,220|P,R2,1,10|P,B2,1,20|P,S1,1,40|B5,1600|B4,500|B3,500|B2,500
火焰沃玛: G,40,100|P,S1,1,80|P,R2,1,80|P,B2,1,80|D1,500|B5,1800|B4,800|B3,500|B2,500
暗黑战士0: G,1,120|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,240|B4,4|B3,100|B2,4
沃玛战士0: G,1,250|P,S1,4,20|P,R2,4,20|P,B2,4,20|B6,400|B4,80|B3,50|B2,50
沃玛勇士0: G,1,250|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,4000|B4,8|B3,5|B2,5
沃玛战将0: G,1,250|P,S1,4,200|P,R2,4,200|P,B2,4,200|B6,400|B4,80|B3,100|B2,100
火焰沃玛0: G,1,500|P,S1,1,2|P,S1,3,16|P,R2,4,16|P,B2,4,16|B6,400|B4,64|B3,40|B2,40

;蜈蚣洞200
蜈蚣: G,4,250|G,10000,5000|P,S1,1,40|P,O2,1,4800|P,O1,1,4800|B6,5000|B5,2500|B4P,20000|B4,1200|B3,500|B2,500
跳跳蜂: G,4,250|P,S1,1,30|P,O2,1,4800|P,O1,1,4800|B6,1200|B5,600|B4P,20000|B4,500|B3,500|B2,500
巨型蠕虫: G,4,250|P,S1,1,40|P,O2,1,4800|P,O1,1,4800|B6,1600|B5,800|B4P,20000|B4,500|B3,500|B2,500
黑色恶蛆: G,4,200|P,S1,1,40|P,O2,1,4800|P,O1,1,4800|B6,18700|B5,3700|B4P,20000|B4,1800|B3,500|B2,500
钳虫: G,40,300|P,S1,1,30|P,O2,1,4800|P,O1,1,4800|B6,3400|B5,1700|B4P,20000|B4,800|B3,500|B2,500
蜈蚣0: G,1,300|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,400|B5,80|B4P,2000|B4,50
跳跳蜂0: G,1,300|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,400|B5,80|B4P,2000|B4,5
巨型蠕虫0: G,1,600|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,400|B5,8|B4P,2000|B4,5
黑色恶蛆0: G,1,300|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,400|B5,8|B4P,2000|B4,5
钳虫0: G,1,300|P,S1,4,2|P,R2,4,2|P,B2,4,2|B6,400|B5,8|B4P,2000|B4,5

;猪洞290
楔蛾: P,R2,1,15|P,B2,1,25|P,S1,1,50|SR,6000000
角蝇: G,3,250|P,R2,1,10|P,B2,1,20|P,S1,1,50|D1,250
蝙蝠: G,30,250|P,R2,1,80|P,B2,1,80|P,S1,1,100|P,O4,1,80
红野猪: G,3,375|G,10000,5000|P,R2,1,15|P,B2,1,25|P,S1,1,50|P,O2,1,4800|P,O1,1,4800|B6,11200|B5,1400|B4,500
黑野猪: G,3,450|P,S1,1,25|P,O2,1,4800|P,O1,1,4800|B6,8800|B5,1100|B4,500
蝎蛇: G,3,450|P,S1,1,25|P,O2,1,4800|P,O1,1,4800|B6,2400|B5,500|B4,500
红野猪0: G,1,350|P,S1,4,2|P,R2,4,2|P,B2,4,2|ST1,200|B6,8|B5,5
黑野猪0: G,1,350|P,S1,4,20|P,R2,4,20|P,B2,4,20|ST1,200|B6,80|B5,50
蝎蛇0: G,1,3500|P,S1,4,20|P,R2,4,20|P,B2,4,20|ST1,200|B6,80|B5,5

;赤月峡谷310
幻影蜘蛛: G,3,400|P,R2,1,15|P,B2,1,25|P,S1,1,50|P,O2,1,5000|D1,300|M4,6000|B6,8000|B5,500|B3,500
天狼蜘蛛: G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,8800|B5,1100|B4,500
月魔蜘蛛: G,5,500|G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,11200|B5,1400|B4,500
钢牙蜘蛛: G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,8800|B5,1100|B4,500
黑锷蜘蛛: G,5,600|G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,4000|B5,500|B4,500
花吻蜘蛛: G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,8800|B5,1100|B4,500
暴牙蜘蛛: G,5,450|P,R2,1,15|P,B2,1,25|P,S1,1,50|M4,6000|B6,8800|B5,1100|B4,500
血巨人: G,5,450|G,5,450|P,R2,1,10|P,B2,1,15|P,S1,1,20|T1,8000|W1,20000|M4,6000|B6,4000|B5,500|B4,500
血僵尸: G,5,450|G,5,450|P,R2,1,10|P,B2,1,15|P,S1,1,20|T1,8000|W1,20000|M4,6000|B6,4000|B5,500|B4,500
天狼蜘蛛0: G,1,500|P,S1,4,2|P,R2,4,2|P,R2,2,1|P,B2,4,2|P,B2,4,1|M4,600|M5,700|B6,400|B5,64|B4,40
月魔蜘蛛0: G,1,350|P,S1,4,2|P,R2,4,2|P,B2,4,2|D1,600|M4,600|M5,700|ST1,200|B6,8|B5,5
钢牙蜘蛛0: G,1,400|P,S1,8,2|P,R2,4,2|P,B2,4,2|D1,600|M4,600|M5,700|ST1,160|B6,8|B5,40
黑锷蜘蛛0: G,1,5000|P,S1,4,1|P,S1,2,2|P,R2,4,2|P,B2,4,2|D1,600|M4,600|M5,700|B6,320|B5,3
花吻蜘蛛0: P,S1,8,2|P,R2,8,2|P,B2,8,2|D1,600|M4,600|M5,700|ST1,160|B6,8|B5,50
暴牙蜘蛛0: G,1,340|P,S1,4,2|P,R2,6,2|P,R2,2,1|P,B2,4,2|P,B2,4,1|D1,600|M4,600|M5,700|B6,320|B5,65|B4,40
血巨人0: G,1,4000|P,S1,4,1|P,R2,4,2|P,B2,4,2|T1,800|W1,2000|M4,600|M5,700|B6,320|B5,3
血僵尸0: G,1,4000|P,S1,4,1|P,R2,4,2|P,B2,4,2|T1,800|W1,2000|M4,600|M5,700|B6,320|B5,3

;未知暗殿450
鹿1: P,O3,1,3|WZ,3|B6,30|O,1,鹿茸
半兽勇士1: P,S2,1,5|WZ,18|B6,90
骷髅精灵1: WZ,36|B6,900
稻草人1: P,O3,1,6|WZ,6|B6,60
沃玛卫士1: WZ,96|B6,540
沃玛教主1: WZ,2000|B6,11340
尸王1: WZ,36|B6,180
巨型多角虫1: WZ,18|B6,90
邪恶钳虫1: WZ,96|B6,540
白野猪1: WZ,300|B6,1620
邪恶毒蛇1: WZ,800|B6,4860

;尸魔洞390
恶灵僵尸: G,4,300|G,2500,500|P,R2,1,300|P,B2,1,300|T2,24000|M2,800|M3,2100|M4,8000|ST3,8000
恶灵尸王: G,5,1000|P,S2,3,200|P,S2,2,400|P,S1,5,200|P,S1,5,400|P,R2,3,200|P,R3,2,400|P,B2,3,200|P,B3,2,400|T2,24000|M2,1000|M3,4000|M4,6000|ST3,8000|ST5,150000|B6,5000|B5,1000|B4,800
恶灵僵尸0: G,1,2000|P,R2,4,20|P,B2,4,20|T2,2400|M2,100|M4,800|ST3,800|B6,80|B5,30|B4,50|B3,100
恶灵尸王0: G,1,2000|P,S2,3,1|P,S2,2,2|P,S1,5,1|P,S1,5,2|P,R3,3,1|P,R3,2,2|P,B3,3,1|P,B3,2,2|D1,500|T2,2400|M2,50|M3,70|M4,600|ST3,800|ST5,800|B6,40|B5,10|B4,5

;骨魔洞520
